Time;Channel A;Channel B
(ns);(mV);(mV)

-461,40001005;10,19008000;11,82333000
-461,00001004;10,28236000;11,86946000
-460,60001004;10,07320000;11,62340000
-460,20001003;9,61183500;11,07283000
-459,80001003;9,37807500;11,31582000
-459,40001002;9,37807500;12,37389000
-459,00001002;9,62413800;12,38619000
-458,60001001;10,13164000;11,37426000
-458,20001001;10,11934000;10,90674000
-457,80001000;9,56569900;10,99901000
-457,40001000;9,56569900;11,01132000
-457,00000999;10,11934000;10,96518000
-456,60000998;10,13164000;11,19894000
-456,20000998;9,62413800;11,70645000
-455,80000997;9,39037900;11,69414000
-455,40000997;9,43651600;11,14050000
-455,00000996;9,44881800;11,12820000
-454,60000996;9,44881800;11,63570000
-454,20000995;9,43651600;11,88177000
-453,80000995;9,39037900;11,88177000
-453,40000994;9,61183500;11,64801000
-453,00000994;10,07320000;11,18664000
-452,60000993;10,29466000;10,94058000
-452,20000993;10,24852000;10,89444000
-451,80000992;10,24852000;11,37426000
-451,40000992;10,29466000;12,38619000
-451,00000991;10,06090000;12,38619000
-450,60000990;9,55339400;11,37426000
-450,20000990;9,55339400;10,90674000
-449,80000989;10,06090000;10,99901000
-449,40000989;10,30696000;11,02362000
-449,00000988;10,30696000;11,02362000
-448,60000988;10,04860000;11,01132000
-448,20000987;9,49803200;10,96518000
-447,80000987;9,71948700;11,18664000
-447,40000986;10,68528000;11,64801000
-447,00000986;11,14050000;11,86946000
-446,60000985;11,04823000;11,82333000
-446,20000985;11,03592000;11,81102000
-445,80000984;11,08206000;11,81102000
-445,40000984;10,86060000;11,81102000
-445,00000983;10,39924000;11,81102000
-444,60000982;10,19008000;11,81102000
-444,20000982;10,28236000;11,81102000
-443,80000981;10,07320000;11,82333000
-443,40000981;9,61183500;11,86946000
-443,00000980;9,39037900;11,64801000
-442,60000980;9,43651600;11,18664000
-442,20000979;9,44881800;10,95288000
-441,80000979;9,44881800;10,95288000
-441,40000978;9,43651600;11,19894000
-441,00000978;9,39037900;11,70645000
-440,60000977;9,61183500;11,70645000
-440,20000977;10,07320000;11,19894000
-439,80000976;10,29466000;10,95288000
-439,40000976;10,24852000;10,95288000
-439,00000975;10,23622000;11,19894000
-438,60000974;10,23622000;11,70645000
-438,20000974;10,23622000;11,71567000
-437,80000973;10,23622000;11,25738000
-437,40000973;10,23622000;10,77756000
-437,00000972;10,23622000;10,27313000
-436,60000972;10,23622000;10,50689000
-436,20000971;10,23622000;11,47269000
-435,80000971;10,23622000;11,94943000
-435,40000970;10,23622000;11,94943000
-435,00000970;10,23622000;11,46038000
-434,60000969;10,23622000;10,44845000
-434,20000969;10,23622000;10,44845000
-433,80000968;10,23622000;11,46038000
-433,40000967;10,23622000;11,92790000
-433,00000967;10,23622000;11,83563000
-432,60000966;10,23622000;11,79872000
-432,20000966;10,23622000;11,75258000
-431,80000965;10,24852000;11,98634000
-431,40000965;10,29466000;12,49385000
-431,00000964;10,07320000;12,50307000
-430,60000964;9,61183500;12,04478000
-430,20000963;9,39037900;11,58957000
-429,80000963;9,43651600;11,17433000
-429,40000962;9,43651600;10,95288000
-429,00000962;9,39037900;10,95288000
-428,60000961;9,62413800;11,19894000
-428,20000961;10,13164000;11,70645000
-427,80000960;10,10704000;11,70645000
-427,40000959;9,50725700;11,19894000
-427,00000959;9,73179100;10,94058000
-426,60000958;10,74065000;10,89444000
-426,20000958;10,97441000;11,37426000
-425,80000957;10,42384000;12,38619000
-425,40000957;10,17778000;12,38619000
-425,00000956;10,22392000;11,37426000
-424,60000956;10,23622000;10,88521000
-424,20000955;10,23622000;10,88521000
-423,80000955;10,23622000;11,36196000
-423,40000954;10,23622000;12,32775000
-423,00000954;10,23622000;12,57382000
-422,60000953;10,23622000;12,11553000
-422,20000953;10,22392000;11,41425000
-421,80000952;10,17778000;10,49459000
-421,40000951;10,41154000;10,26083000
-421,00000951;10,91905000;10,71912000
-420,60000950;10,91905000;11,43270000
-420,20000950;10,41154000;12,39850000
-419,80000949;10,17778000;12,37389000
-419,40000949;10,22392000;11,31582000
-419,00000948;10,23622000;11,07283000
-418,60000948;10,23622000;11,62340000
-418,20000947;10,23622000;11,86946000
-417,80000947;10,23622000;11,82333000
-417,40000946;10,23622000;11,81102000
-417,00000946;10,23622000;11,81102000
-416,60000945;10,24852000;11,79872000
-416,20000945;10,29466000;11,75258000
-415,80000944;10,07320000;11,98634000
-415,40000943;9,61183500;12,49385000
-415,00000943;9,37807500;12,50307000
-414,60000942;9,37807500;12,04478000
-414,20000942;9,62413800;11,57726000
-413,80000941;10,13164000;11,11897000
-413,40000941;10,10704000;11,14050000
-413,00000940;9,50725700;11,69414000
-412,60000940;9,73179100;11,70645000
-412,20000939;10,74065000;11,19894000
-411,80000939;10,97441000;10,95288000
-411,40000938;10,42384000;10,95288000
-411,00000938;10,17778000;11,18664000
-410,60000937;10,22392000;11,64801000
-410,20000937;10,23622000;11,88177000
-409,80000936;10,23622000;11,88177000
-409,40000935;10,23622000;11,63570000
-409,00000935;10,23622000;11,12820000
-408,60000934;10,23622000;11,11897000
-408,20000934;10,23622000;11,57726000
-407,80000933;10,23622000;12,06939000
-407,40000933;10,23622000;12,61996000
-407,00000932;10,24852000;12,14013000
-406,60000932;10,29466000;10,62377000
-406,20000931;10,06090000;10,37771000
-405,80000931;9,55339400;11,38964000
-405,40000930;9,56569900;12,10322000
-405,00000930;10,11934000;12,51538000
-404,60000929;10,13164000;12,50307000
-404,20000929;9,62413800;12,04478000
-403,80000928;9,37807500;11,56496000
-403,40000927;9,37807500;11,06053000
-403,00000927;9,61183500;11,29429000
-402,60000926;10,07320000;12,26009000
-402,20000926;10,30696000;12,72761000
-401,80000925;10,30696000;12,68147000
-401,40000925;10,06090000;12,43541000
-401,00000924;9,55339400;11,97404000
-400,60000924;9,56569900;11,75258000
-400,20000923;10,11934000;11,79872000
-399,80000923;10,11934000;11,82333000
-399,40000922;9,56569900;11,86946000
-399,00000922;9,55339400;11,63570000
-398,60000921;10,06090000;11,12820000
-398,20000920;10,29466000;11,11897000
-397,80000920;10,24852000;11,57726000
-397,40000919;10,23622000;12,06939000
-397,00000919;10,23622000;12,61996000
-396,60000918;10,23622000;12,14013000
-396,20000918;10,23622000;10,62377000
-395,80000917;10,23622000;10,39001000
-395,40000917;10,23622000;11,44808000
-395,00000916;10,23622000;11,94021000
-394,60000916;10,23622000;11,89407000
-394,20000915;10,22392000;11,64801000
-393,80000915;10,17778000;11,18664000
-393,40000914;10,42384000;10,93135000
-393,00000914;10,97441000;10,83907000
-392,60000913;10,75295000;11,52805000
-392,20000912;9,78715500;12,95214000
-391,80000912;9,31040800;13,41966000
-391,40000911;9,31040800;12,91523000
-391,00000911;9,78715500;12,20165000
-390,60000910;10,75295000;11,28199000
-390,20000910;10,97441000;11,08206000
-389,80000909;10,42384000;11,68184000
-389,40000909;10,17778000;11,70645000
-389,00000908;10,22392000;11,19894000
-388,60000908;10,23622000;10,96518000
-388,20000907;10,23622000;11,01132000
-387,80000907;10,24852000;11,02362000
-387,40000906;10,29466000;11,02362000
-387,00000906;10,06090000;11,02362000
-386,60000905;9,55339400;11,02362000
-386,20000904;9,56569900;11,01132000
-385,80000904;10,11934000;10,96518000
-385,40000903;10,13164000;11,18664000
-385,00000903;9,62413800;11,64801000
-384,60000902;9,39037900;11,88177000
-384,20000902;9,43651600;11,88177000
-383,80000901;9,42421200;11,63570000
-383,40000901;9,33193800;11,12820000
-383,00000900;9,78715500;11,11897000
-382,60000900;10,75295000;11,57726000
-382,20000899;10,98671000;12,04478000
-381,80000899;10,48228000;12,50307000
-381,40000898;9,99015700;12,50307000
-381,00000898;9,48572700;12,04478000
-380,60000897;9,73179100;11,56496000
-380,20000896;10,74065000;11,06053000
-379,80000896;10,97441000;11,30659000
-379,40000895;10,42384000;12,31545000
-379,00000895;10,17778000;12,56151000
-378,60000894;10,22392000;12,05709000
-378,20000894;10,23622000;11,56496000
-377,80000893;10,23622000;11,06053000
-377,40000893;10,24852000;11,31582000
-377,00000892;10,29466000;12,37389000
-376,60000892;10,07320000;12,38619000
-376,20000891;9,61183500;11,37426000
-375,80000891;9,39037900;10,89444000
-375,40000890;9,43651600;10,94058000
-375,00000890;9,43651600;11,19894000
-374,60000889;9,39037900;11,70645000
-374,20000888;9,62413800;11,70645000
-373,80000888;10,13164000;11,19894000
-373,40000887;10,11934000;10,95288000
-373,00000887;9,56569900;10,95288000
-372,60000886;9,55339400;11,18664000
-372,20000886;10,06090000;11,64801000
-371,80000885;10,29466000;11,86946000
-371,40000885;10,24852000;11,82333000
-371,00000884;10,24852000;11,82333000
-370,60000884;10,29466000;11,86946000
-370,20000883;10,06090000;11,62340000
-369,80000883;9,55339400;11,07283000
-369,40000882;9,55339400;11,31582000
-369,00000882;10,06090000;12,37389000
-368,60000881;10,29466000;12,37389000
-368,20000880;10,24852000;11,31582000
-367,80000880;10,24852000;11,07283000
-367,40000879;10,29466000;11,62340000
-367,00000879;10,06090000;11,88177000
-366,60000878;9,55339400;11,88177000
-366,20000878;9,55339400;11,66031000
-365,80000877;10,06090000;11,24508000
-365,40000877;10,30696000;10,77756000
-365,00000876;10,30696000;10,27313000
-364,60000876;10,06090000;10,50689000
-364,20000875;9,55339400;11,47269000
-363,80000875;9,55339400;11,92790000
-363,40000874;10,06090000;11,83563000
-363,00000874;10,30696000;11,79872000
-362,60000873;10,30696000;11,75258000
-362,20000872;10,07320000;11,98634000
-361,80000872;9,61183500;12,49385000
-361,40000871;9,37807500;12,50307000
-361,00000871;9,37807500;12,04478000
-360,60000870;9,61183500;11,57726000
-360,20000870;10,07320000;11,11897000
-359,80000869;10,30696000;11,12820000
-359,40000869;10,30696000;11,63570000
-359,00000868;10,07320000;11,89407000
-358,60000868;9,61183500;11,94021000
-358,20000867;9,37807500;11,47269000
-357,80000867;9,37807500;10,50689000
-357,40000866;9,59953100;10,26083000
-357,00000865;10,01476000;10,71912000
-356,60000865;10,45768000;11,44500000
-356,20000864;10,87291000;12,45694000
-355,80000864;11,09436000;12,21087000
-355,40000863;11,09436000;10,69451000
-355,00000863;10,87291000;10,20239000
-354,60000862;10,45768000;10,70681000
-354,20000862;10,00246000;11,43270000
-353,80000861;9,54416800;12,39850000
-353,40000861;9,56569900;12,37389000
-353,00000860;10,11934000;11,31582000
-352,60000860;10,13164000;11,07283000
-352,20000859;9,62413800;11,62340000
-351,80000859;9,39037900;11,85716000
-351,40000858;9,43651600;11,76489000
-351,00000857;9,43651600;11,99865000
-350,60000857;9,39037900;12,54921000
-350,20000856;9,61183500;12,31545000
-349,80000856;10,07320000;11,30659000
-349,40000855;10,28236000;11,08206000
-349,00000855;10,19008000;11,68184000
-348,60000854;10,41154000;11,70645000
-348,20000854;10,91905000;11,19894000
-347,80000853;10,92827000;10,96518000
-347,40000853;10,46998000;11,01132000
-347,00000852;10,01476000;11,01132000
-346,60000852;9,59953100;10,96518000
-346,20000851;9,39037900;11,19894000
-345,80000851;9,43651600;11,70645000
-345,40000850;9,43651600;11,70645000
-345,00000849;9,39037900;11,19894000
-344,60000849;9,61183500;10,95288000
-344,20000848;10,07320000;10,95288000
-343,80000848;10,27005000;11,18664000
-343,40000847;10,13164000;11,64801000
-343,00000847;10,58686000;11,88177000
-342,60000846;11,59879000;11,88177000
-342,20000846;11,59879000;11,63570000
-341,80000845;10,58686000;11,12820000
-341,40000845;10,13164000;11,14050000
-341,00000844;10,27005000;11,69414000
-340,60000844;10,06090000;11,70645000
-340,20000843;9,55339400;11,19894000
-339,80000843;9,55339400;10,94058000
-339,40000842;10,06090000;10,89444000
-339,00000841;10,29466000;11,35273000
-338,60000841;10,24852000;12,26932000
-338,20000840;10,24852000;12,73683000
-337,80000840;10,29466000;12,73683000
-337,40000839;10,07320000;12,24778000
-337,00000839;9,61183500;11,23585000
-336,60000838;9,39037900;11,23585000
-336,20000838;9,43651600;12,24778000
-335,80000837;9,44881800;12,72761000
-335,40000837;9,44881800;12,68147000
-335,00000836;9,42421200;12,43541000
-334,60000836;9,33193800;11,97404000
-334,20000835;9,78715500;11,75258000
-333,80000835;10,75295000;11,79872000
-333,40000834;10,98671000;11,81102000
-333,00000833;10,48228000;11,81102000
-332,60000833;10,00246000;11,82333000
-332,20000832;9,54416800;11,86946000
-331,80000832;9,55339400;11,62340000
-331,40000831;10,06090000;11,07283000
-331,00000831;10,29466000;11,31582000
-330,60000830;10,24852000;12,37389000
-330,20000830;10,22392000;12,39850000
-329,80000829;10,17778000;11,43270000
-329,40000829;10,42384000;10,71912000
-329,00000828;10,97441000;10,26083000
-328,60000828;10,74065000;10,51919000
-328,20000827;9,73179100;11,52805000
-327,80000827;9,49803200;11,76181000
-327,40000826;10,04860000;11,21124000
-327,00000825;10,29466000;10,96518000
-326,60000825;10,24852000;11,01132000
-326,20000824;10,24852000;11,01132000
-325,80000824;10,29466000;10,96518000
-325,40000823;10,07320000;11,19894000
-325,00000823;9,61183500;11,70645000
-324,60000822;9,37807500;11,69414000
-324,20000822;9,37807500;11,14050000
-323,80000821;9,62413800;11,14050000
-323,40000821;10,13164000;11,69414000
-323,00000820;10,13164000;11,70645000
-322,60000820;9,62413800;11,19894000
-322,20000819;9,37807500;10,96518000
-321,80000818;9,37807500;11,01132000
-321,40000818;9,61183500;11,01132000
-321,00000817;10,07320000;10,96518000
-320,60000817;10,29466000;11,19894000
-320,20000816;10,24852000;11,70645000
-319,80000816;10,23622000;11,69414000
-319,40000815;10,23622000;11,14050000
-319,00000815;10,23622000;11,11897000
-318,60000814;10,23622000;11,57726000
-318,20000814;10,24852000;12,04478000
-317,80000813;10,29466000;12,50307000
-317,40000813;10,04860000;12,50307000
-317,00000812;9,49803200;12,04478000
-316,60000812;9,73179100;11,57726000
-316,20000811;10,74065000;11,11897000
-315,80000810;10,96518000;11,12820000
-315,40000810;10,36540000;11,63570000
-315,00000809;10,36540000;11,86946000
-314,60000809;10,96518000;11,82333000
-314,20000808;10,74065000;11,81102000
-313,80000808;9,73179100;11,81102000
-313,40000807;9,49803200;11,79872000
-313,00000807;10,04860000;11,75258000
-312,60000806;10,30696000;11,98634000
-312,20000806;10,30696000;12,49385000
-311,80000805;10,06090000;12,49385000
-311,40000805;9,55339400;11,98634000
-311,00000804;9,56569900;11,75258000
-310,60000804;10,11934000;11,79872000
-310,20000803;10,13164000;11,81102000
-309,80000802;9,62413800;11,81102000
-309,40000802;9,37807500;11,82333000
-309,00000801;9,37807500;11,86946000
-308,60000801;9,62413800;11,63570000
-308,20000800;10,13164000;11,12820000
-307,80000800;10,11934000;11,14050000
-307,40000799;9,56569900;11,69414000
-307,00000799;9,54416800;11,72798000
-306,60000798;10,00246000;11,31582000
-306,20000798;10,48228000;10,58994000
-305,80000797;10,98671000;9,53186400
-305,40000797;10,75295000;9,99938500
-305,00000796;9,78715500;11,97711000
-304,60000796;9,31963500;12,66609000
-304,20000795;9,36577200;12,02325000
-303,80000794;9,61183500;11,75258000
-303,40000794;10,07320000;11,79872000
-303,00000793;10,28236000;11,81102000
-302,60000793;10,19008000;11,81102000
-302,20000792;10,41154000;11,81102000
-301,80000792;10,91905000;11,81102000
-301,40000791;10,92827000;11,82333000
-301,00000791;10,46998000;11,86946000
-300,60000790;10,00246000;11,62340000
-300,20000790;9,54416800;11,07283000
-299,80000789;9,56569900;11,31582000
-299,40000789;10,11934000;12,37389000
-299,00000788;10,13164000;12,38619000
-298,60000788;9,62413800;11,37426000
-298,20000787;9,37807500;10,89444000
-297,80000786;9,37807500;10,94058000
-297,40000786;9,61183500;11,19894000
-297,00000785;10,07320000;11,70645000
-296,60000785;10,30696000;11,69414000
-296,20000784;10,30696000;11,14050000
-295,80000784;10,07320000;11,11897000
-295,40000783;9,61183500;11,57726000
-295,00000783;9,40268100;12,04478000
-294,60000782;9,49495500;12,50307000
-294,20000782;9,26119500;12,50307000
-293,80000781;8,71062900;12,04478000
-293,40000781;8,91978400;11,58957000
-293,00000780;9,83944300;11,17433000
-292,60000780;10,52842000;10,95288000
-292,20000779;10,94058000;10,95288000
-291,80000778;10,91905000;11,21124000
-291,40000778;10,41154000;11,76181000
-291,00000777;10,16548000;11,51882000
-290,60000777;10,16548000;10,46075000
-290,20000776;10,41154000;10,44845000
-289,80000776;10,91905000;11,46038000
-289,40000775;10,92827000;11,94021000
-289,00000775;10,46998000;11,89407000
-288,60000774;9,97785300;11,63570000
-288,20000774;9,42728800;11,12820000
-287,80000773;9,91633800;11,11897000
-287,40000773;11,48191000;11,57726000
-287,00000772;11,49422000;12,05709000
-286,60000771;9,97477800;12,56151000
-286,20000771;9,27349900;12,31545000
-285,80000770;9,41498500;11,30659000
-285,40000770;9,43651600;11,06053000
-285,00000769;9,39037900;11,56496000
-284,60000769;9,61183500;12,05709000
-284,20000768;10,07320000;12,56151000
-283,80000768;10,29466000;12,32775000
-283,40000767;10,24852000;11,36196000
-283,00000767;10,24852000;10,89444000
-282,60000766;10,29466000;10,94058000
-282,20000766;10,07320000;11,18664000
-281,80000765;9,61183500;11,64801000
-281,40000765;9,39037900;11,88177000
-281,00000764;9,43651600;11,88177000
-280,60000763;9,44881800;11,62340000
-280,20000763;9,44881800;11,07283000
-279,80000762;9,44881800;11,30659000
-279,40000762;9,44881800;12,31545000
-279,00000761;9,43651600;12,54921000
-278,60000761;9,39037900;11,99865000
-278,20000760;9,62413800;11,75258000
-277,80000760;10,13164000;11,79872000
-277,40000759;10,11934000;11,82333000
-277,00000759;9,56569900;11,86946000
-276,60000758;9,56569900;11,63570000
-276,20000758;10,11934000;11,12820000
-275,80000757;10,13164000;11,14050000
-275,40000757;9,62413800;11,69414000
-275,00000756;9,39037900;11,68184000
-274,60000755;9,43651600;11,08206000
-274,20000755;9,43651600;11,31582000
-273,80000754;9,39037900;12,37389000
-273,40000754;9,59953100;12,38619000
-273,00000753;10,01476000;11,37426000
-272,60000753;10,45768000;10,88521000
-272,20000752;10,87291000;10,88521000
-271,80000752;11,09436000;11,36196000
-271,40000751;11,09436000;12,32775000
-271,00000751;10,86060000;12,54921000
-270,60000750;10,39924000;11,99865000
-270,20000750;10,19008000;11,75258000
-269,80000749;10,28236000;11,79872000
-269,40000749;10,06090000;11,81102000
-269,00000748;9,55339400;11,81102000
-268,60000747;9,55339400;11,82333000
-268,20000747;10,06090000;11,86946000
-267,80000746;10,29466000;11,63570000
-267,40000746;10,24852000;11,12820000
-267,00000745;10,23622000;11,12820000
-266,60000745;10,23622000;11,63570000
-266,20000744;10,23622000;11,88177000
-265,80000744;10,23622000;11,88177000
-265,40000743;10,22392000;11,66031000
-265,00000743;10,17778000;11,24508000
-264,60000742;10,41154000;10,76525000
-264,20000742;10,91905000;10,21469000
-263,80000741;10,91905000;10,69451000
-263,40000741;10,41154000;12,21087000
-263,00000740;10,19008000;12,44464000
-262,60000739;10,28236000;11,38656000
-262,20000739;10,06090000;10,88521000
-261,80000738;9,55339400;10,88521000
-261,40000738;9,56569900;11,36196000
-261,00000737;10,11934000;12,32775000
-260,60000737;10,10704000;12,56151000
-260,20000736;9,50725700;12,05709000
-259,80000736;9,71948700;11,56496000
-259,40000735;10,68528000;11,06053000
-259,00000735;11,15280000;11,30659000
-258,60000734;11,10667000;12,31545000
-258,20000734;10,87291000;12,56151000
-257,80000733;10,45768000;12,05709000
-257,40000733;10,00246000;11,57726000
-257,00000732;9,54416800;11,11897000
-256,60000731;9,55339400;11,12820000
-256,20000731;10,06090000;11,63570000
-255,80000730;10,29466000;11,88177000
-255,40000730;10,24852000;11,88177000
-255,00000729;10,23622000;11,62340000
-254,60000729;10,23622000;11,07283000
-254,20000728;10,22392000;11,30659000
-253,80000728;10,17778000;12,31545000
-253,40000727;10,41154000;12,54921000
-253,00000727;10,91905000;11,99865000
-252,60000726;10,91905000;11,76489000
-252,20000726;10,41154000;11,85716000
-251,80000725;10,19008000;11,63570000
-251,40000725;10,28236000;11,12820000
-251,00000724;10,07320000;11,14050000
-250,60000723;9,61183500;11,69414000
-250,20000723;9,37807500;11,70645000
-249,80000722;9,37807500;11,19894000
-249,40000722;9,61183500;10,94058000
-249,00000721;10,07320000;10,89444000
-248,60000721;10,30696000;11,37426000
-248,20000720;10,30696000;12,38619000
-247,80000720;10,04860000;12,37389000
-247,40000719;9,49803200;11,31582000
-247,00000719;9,73179100;11,06053000
-246,60000718;10,74065000;11,56496000
-246,20000718;10,97441000;12,04478000
-245,80000717;10,42384000;12,50307000
-245,40000716;10,19008000;12,48154000
-245,00000716;10,28236000;11,92790000
-244,60000715;10,07320000;11,91560000
-244,20000715;9,61183500;12,42311000
-243,80000714;9,37807500;12,66917000
-243,40000714;9,37807500;12,66917000
-243,00000713;9,61183500;12,46924000
-242,60000713;10,07320000;12,14936000
-242,20000712;10,29466000;11,22662000
-241,80000712;10,24852000;9,75332200
-241,40000711;10,24852000;9,76562400
-241,00000711;10,29466000;11,28506000
-240,60000710;10,06090000;11,99557000
-240,20000710;9,55339400;11,90330000
-239,80000709;9,54416800;11,63570000
-239,40000708;10,00246000;11,12820000
-239,00000708;10,46998000;11,12820000
-238,60000707;10,92827000;11,63570000
-238,20000707;10,90674000;11,88177000
-237,80000706;10,35310000;11,88177000
-237,40000706;10,35310000;11,64801000
-237,00000705;10,90674000;11,18664000
-236,60000705;10,91905000;10,95288000
-236,20000704;10,41154000;10,95288000
-235,80000704;10,17778000;11,19894000
-235,40000703;10,22392000;11,70645000
-235,00000703;10,23622000;11,70645000
-234,60000702;10,23622000;11,19894000
-234,20000702;10,23622000;10,95288000
-233,80000701;10,23622000;10,95288000
-233,40000700;10,23622000;11,18664000
-233,00000700;10,23622000;11,64801000
-232,60000699;10,24852000;11,86946000
-232,20000699;10,29466000;11,82333000
-231,80000698;10,06090000;11,79872000
-231,40000698;9,55339400;11,75258000
-231,00000697;9,56569900;11,98634000
-230,60000697;10,11934000;12,49385000
-230,20000696;10,10704000;12,49385000
-229,80000696;9,50725700;11,98634000
-229,40000695;9,71948700;11,76489000
-229,00000695;10,68528000;11,85716000
-228,60000694;11,15280000;11,63570000
-228,20000694;11,10667000;11,12820000
-227,80000693;10,86060000;11,15280000
-227,40000692;10,39924000;11,75258000
-227,00000692;10,16548000;11,51882000
-226,60000691;10,16548000;10,46075000
-226,20000691;10,41154000;10,44845000
-225,80000690;10,91905000;11,46038000
-225,40000690;10,91905000;11,94021000
-225,00000689;10,41154000;11,89407000
-224,60000689;10,17778000;11,64801000
-224,20000688;10,22392000;11,18664000
-223,80000688;10,23622000;10,94058000
-223,40000687;10,23622000;10,89444000
-223,00000687;10,24852000;11,36196000
-222,60000686;10,29466000;12,32775000
-222,20000686;10,06090000;12,56151000
-221,80000685;9,55339400;12,05709000
-221,40000684;9,56569900;11,56496000
-221,00000684;10,11934000;11,06053000
-220,60000683;10,13164000;11,31582000
-220,20000683;9,62413800;12,37389000
-219,80000682;9,36577200;12,38619000
-219,40000682;9,31963500;11,37426000
-219,00000681;9,78715500;10,89444000
-218,60000681;10,75295000;10,94058000
-218,20000680;10,97441000;11,18664000
-217,80000680;10,42384000;11,64801000
-217,40000679;10,17778000;11,86946000
-217,00000679;10,22392000;11,82333000
-216,60000678;10,23622000;11,81102000
